[2026-08-11 15:53:21,780] [UserIP.py:93] [UserIP:process_response] [INFO]- 2026-08-11 15:53:21: None/AnonymousUser/None> None/None/None > 127.0.0.1/127.0.0.1 > <AsgiRequest: GET '/'>
[2026-08-11 15:53:22,139] [UserIP.py:93] [UserIP:process_response] [INFO]- 2026-08-11 15:53:22: None/AnonymousUser/None> None/None/None > 127.0.0.1/127.0.0.1 > <AsgiRequest: GET '/login/'>
[2026-08-11 15:53:22,609] [UserIP.py:93] [UserIP:process_response] [INFO]- 2026-08-11 15:53:22: None/AnonymousUser/None> None/None/None > 127.0.0.1/127.0.0.1 > <AsgiRequest: GET '/favicon.ico'>
[2026-08-11 15:53:22,622] [UserIP.py:93] [UserIP:process_response] [INFO]- 2026-08-11 15:53:22: None/AnonymousUser/None> None/None/None > 127.0.0.1/127.0.0.1 > <AsgiRequest: GET '/login/'>
[2026-08-11 15:53:26,199] [UserIP.py:93] [UserIP:process_response] [INFO]- 2026-08-11 15:53:26: C1010S3/AnonymousUser/Edwin> None/None/None > 127.0.0.1/127.0.0.1 > <AsgiRequest: POST '/login/?next='>
[2026-08-11 15:53:26,511] [UserIP.py:93] [UserIP:process_response] [INFO]- 2026-08-11 15:53:26: C1010S3/AnonymousUser/Edwin> None/None/None > 127.0.0.1/127.0.0.1 > <AsgiRequest: GET '/login/'>
[2026-08-11 15:53:27,034] [UserIP.py:93] [UserIP:process_response] [INFO]- 2026-08-11 15:53:27: C1010S3/AnonymousUser/Edwin> None/None/None > 127.0.0.1/127.0.0.1 > <AsgiRequest: GET '/Navigations/'>
[2026-08-11 15:53:29,247] [UserIP.py:93] [UserIP:process_response] [INFO]- 2026-08-11 15:53:29: C1010S3/AnonymousUser/Edwin> None/None/None > 127.0.0.1/127.0.0.1 > <AsgiRequest: GET '/favicon.ico'>
[2026-08-11 15:53:33,129] [UserIP.py:93] [UserIP:process_response] [INFO]- 2026-08-11 15:53:33: C1010S3/AnonymousUser/Edwin> None/None/None > 127.0.0.1/127.0.0.1 > <AsgiRequest: GET '/PCRList/Summary/'>
[2026-08-11 15:53:34,735] [UserIP.py:93] [UserIP:process_response] [INFO]- 2026-08-11 15:53:34: C1010S3/AnonymousUser/Edwin> None/None/None > 127.0.0.1/127.0.0.1 > <AsgiRequest: POST '/PCRList/api/list/'>
[2026-08-11 15:53:34,765] [UserIP.py:93] [UserIP:process_response] [INFO]- 2026-08-11 15:53:34: C1010S3/AnonymousUser/Edwin> None/None/None > 127.0.0.1/127.0.0.1 > <AsgiRequest: GET '/favicon.ico'>
[2026-08-11 15:53:35,048] [UserIP.py:93] [UserIP:process_response] [INFO]- 2026-08-11 15:53:35: C1010S3/AnonymousUser/Edwin> None/None/None > 127.0.0.1/127.0.0.1 > <AsgiRequest: POST '/PCRList/api/statistics/'>
